Time,Flowrate,Pressure
505.524861,23034.7066,8213.8599
505.947361,23035.3008,8213.7629
506.369861,23035.1155,8213.5498
506.792361,23039.9866,8213.496
507.214861,23035.9354,8213.3491
507.637361,23036.496,8213.2455
508.059861,23038.273,8213.1437
508.482361,23036.0266,8212.9459
508.904861,23034.9504,8212.7482
509.327361,23034.24,8212.7741
509.749861,23037.3226,8212.6839
510.172361,23033.496,8212.4967
510.594861,23045.7542,8212.2903
511.017361,23037.1594,8212.1789
511.439861,23037.8698,8212.0541
511.862361,23040.8304,8211.8688
512.284861,23036.7955,8211.8688
512.707361,23034.287,8211.7421
513.129861,23219.8272,8205.1527
513.552361,23320.5187,8201.0295
513.974861,23328.3792,8200.7731
514.397361,23321.7974,8200.5399
514.819861,23326.4947,8200.2221
515.242361,23322.5827,8200.3075
515.664861,23322.3917,8200.0032
516.087361,23321.0208,8199.8707
516.509861,23326.1174,8199.8333
516.932361,23320.2278,8199.8055
517.354861,23315.7773,8199.7584
517.777361,23320.8374,8199.5463
518.199861,23317.4381,8199.1536
518.622361,23323.727,8199.2755
519.044861,23320.6877,8199.2103
519.467361,23321.711,8199.0451
519.889861,23321.6986,8198.9683
520.312361,23318.4202,8198.6659
520.734861,23321.1283,8198.6477
521.157361,23322.1459,8198.5114
521.579861,23316.7085,8198.4442
522.002361,23314.9238,8198.3079
522.424861,23321.3808,8198.0698
522.847361,23323.5677,8198.0823
523.269861,23316.9878,8197.9968
523.692361,23324.2032,8197.6282
524.114861,23317.5792,8197.6445
524.537361,23321.1523,8197.5754
524.959861,23316.8774,8197.2442
525.382361,23319.2083,8197.2288
525.804861,23317.9747,8197.0589
526.227361,23319.4646,8196.9264
526.649861,23313.5722,8197.0944
527.072361,23318.6698,8197.0455
527.494861,23318.8051,8196.4839
527.917361,23320.5619,8196.361
528.339861,23317.8451,8196.5319
528.762361,23320.0013,8196.2208
529.184861,23319.9619,8196.3946
529.607361,23320.7606,8196.2333
530.029861,23319.8064,8196.1095
530.450556,23318.593,8196.0336
530.873056,23321.0458,8195.8042
531.295556,23326.2826,8195.3501
531.718056,23326.033,8195.6602
532.140556,23324.3472,8195.3616
532.563056,23327.9002,8195.3453
532.985556,23326.1664,8195.3232
533.408056,23325.167,8195.0813
533.830556,23334.3504,8194.9229
534.253056,23320.7453,8194.6944
534.675556,23325.5626,8194.7655
535.098056,23323.1626,8194.8135
535.520556,23326.5245,8194.6666
535.943056,23320.8374,8194.488
536.365556,23317.9219,8194.6992
536.788056,23330.3962,8194.3248
537.210556,23334.2698,8193.9523
